,emin,de,sens,emax,en
183,1755.25,10.0,5.93135765388e-11,1765.25,1760.24289872
184,1765.25,10.0,5.227413923e-11,1775.25,1770.24293884
185,1775.25,10.0,6.59835953815e-11,1785.25,1780.2429785
186,1785.25,10.0,4.39385126843e-11,1795.25,1790.24301772
187,1795.25,10.0,4.41326956112e-11,1805.25,1800.24305651
188,1805.25,10.0,4.80356211925e-11,1815.25,1810.24309486
189,1815.25,10.0,4.40718392386e-11,1825.25,1820.2431328
190,1825.25,10.0,4.50947871071e-11,1835.25,1830.24317032
191,1835.25,10.0,4.4467925285e-11,1845.25,1840.24320743
192,1845.25,10.0,4.48719940409e-11,1855.25,1850.24324414
193,1855.25,10.0,4.53335437756e-11,1865.25,1860.24328046
194,1865.25,10.0,4.4524719945e-11,1875.25,1870.24331639
195,1875.25,10.0,4.51011759809e-11,1885.25,1880.24335194
196,1885.25,10.0,4.72052259311e-11,1895.25,1890.24338711
197,1895.25,10.0,4.71522040383e-11,1905.25,1900.24342191
198,1905.25,10.0,4.5133906324e-11,1915.25,1910.24345634
199,1915.25,10.0,4.6302626756e-11,1925.25,1920.24349042
200,1925.25,10.0,4.67716588082e-11,1935.25,1930.24352414
201,1935.25,10.0,4.6340606417e-11,1945.25,1940.24355752
202,1945.25,10.0,4.56068663185e-11,1955.25,1950.24359055
203,1955.25,10.0,4.63453661873e-11,1965.25,1960.24362325
204,1965.25,10.0,4.61653960922e-11,1975.25,1970.24365562
205,1975.25,10.0,4.6717449537e-11,1985.25,1980.24368766
206,1985.25,10.0,4.63124253074e-11,1995.25,1990.24371937
207,1995.25,10.0,4.65131752049e-11,2005.25,2000.24375077
208,2005.25,10.0,4.70514510677e-11,2015.25,2010.24378186
209,2015.25,10.0,4.78994251938e-11,2025.25,2020.24381264
210,2025.25,10.0,4.84565995823e-11,2035.25,2030.24384311
211,2035.25,10.0,4.77028374136e-11,2045.25,2040.24387329
212,2045.25,10.0,4.72547187418e-11,2055.25,2050.24390317
213,2055.25,10.0,4.74787694202e-11,2065.25,2060.24393277
214,2065.25,10.0,4.72296222747e-11,2075.25,2070.24396207
215,2075.25,10.0,4.76724883952e-11,2085.25,2080.2439911
216,2085.25,10.0,4.76612900092e-11,2095.25,2090.24401985
217,2095.25,10.0,4.76985521666e-11,2105.25,2100.24404832
218,2105.25,10.0,4.86032858729e-11,2115.25,2110.24407652
219,2115.25,10.0,4.75313957469e-11,2125.25,2120.24410446
220,2125.25,10.0,4.73462850265e-11,2135.25,2130.24413214
221,2135.25,10.0,4.72958823558e-11,2145.25,2140.24415955
222,2145.25,10.0,4.70969020681e-11,2155.25,2150.24418671
223,2155.25,10.0,4.77293018185e-11,2165.25,2160.24421362
224,2165.25,10.0,4.82305957249e-11,2175.25,2170.24424029
225,2175.25,10.0,4.78653634368e-11,2185.25,2180.2442667
226,2185.25,10.0,4.81059777937e-11,2195.25,2190.24429288
227,2195.25,10.0,5.59456552768e-11,2205.25,2200.24431882
228,2205.25,10.0,6.0689822833e-11,2215.25,2210.24434452
229,2215.25,10.0,6.87843588893e-11,2225.25,2220.24437
230,2225.25,10.0,5.69344469855e-11,2235.25,2230.24439524
231,2235.25,10.0,5.43440488359e-11,2245.25,2240.24442026
232,2245.25,10.0,5.22968212064e-11,2255.25,2250.24444505
233,2255.25,10.0,5.250067281e-11,2265.25,2260.24446963
234,2265.25,10.0,5.21053667578e-11,2275.25,2270.24449399
235,2275.25,10.0,5.29775833994e-11,2285.25,2280.24451814
236,2285.25,10.0,5.31425324376e-11,2295.25,2290.24454207
237,2295.25,10.0,5.50147727634e-11,2305.25,2300.2445658
238,2305.25,10.0,5.34018261489e-11,2315.25,2310.24458932
239,2315.25,10.0,5.54298303416e-11,2325.25,2320.24461264
240,2325.25,10.0,5.35414149072e-11,2335.25,2330.24463576
241,2335.25,10.0,5.38054343368e-11,2345.25,2340.24465868
242,2345.25,10.0,5.44337881613e-11,2355.25,2350.24468141
243,2355.25,10.0,5.4159277901e-11,2365.25,2360.24470394
244,2365.25,10.0,5.40143805531e-11,2375.25,2370.24472629
245,2375.25,10.0,5.44716374281e-11,2385.25,2380.24474844
246,2385.25,10.0,5.4361223077e-11,2395.25,2390.24477042
247,2395.25,10.0,5.36030217271e-11,2405.25,2400.2447922
248,2405.25,10.0,5.39818341995e-11,2415.25,2410.24481381
249,2415.25,10.0,5.43260491643e-11,2425.25,2420.24483524
250,2425.25,10.0,5.45553545842e-11,2435.25,2430.24485649
251,2435.25,10.0,5.39888953919e-11,2445.25,2440.24487757
252,2445.25,10.0,5.44096057002e-11,2455.25,2450.24489847
253,2455.25,10.0,5.43287131571e-11,2465.25,2460.24491921
254,2465.25,10.0,5.37719810122e-11,2475.25,2470.24493978
255,2475.25,10.0,5.45002286774e-11,2485.25,2480.24496018
256,2485.25,10.0,5.64057897112e-11,2495.25,2490.24498042
257,2495.25,10.0,5.55842347981e-11,2505.25,2500.24500049
258,2505.25,10.0,5.90779117679e-11,2515.25,2510.24502041
259,2515.25,10.0,5.58098393931e-11,2525.25,2520.24504017
260,2525.25,10.0,5.5770113446e-11,2535.25,2530.24505977
261,2535.25,10.0,5.55741544743e-11,2545.25,2540.24507922
262,2545.25,10.0,5.47707901872e-11,2555.25,2550.24509852
263,2555.25,10.0,5.50861416452e-11,2565.25,2560.24511766
264,2565.25,10.0,5.4798112566e-11,2575.25,2570.24513666
265,2575.25,10.0,5.53601507498e-11,2585.25,2580.2451555
266,2585.25,10.0,5.53927178709e-11,2595.25,2590.24517421
267,2595.25,10.0,5.69823373426e-11,2605.25,2600.24519277
268,2605.25,10.0,6.03701284292e-11,2615.25,2610.24521118
269,2615.25,10.0,5.78977024551e-11,2625.25,2620.24522946
270,2625.25,10.0,5.44611406595e-11,2635.25,2630.2452476
271,2635.25,10.0,5.41243547025e-11,2645.25,2640.2452656
272,2645.25,10.0,5.40414840416e-11,2655.25,2650.24528346
273,2655.25,10.0,5.50658871342e-11,2665.25,2660.24530119
274,2665.25,10.0,5.3584493906e-11,2675.25,2670.24531879
275,2675.25,10.0,5.38745167731e-11,2685.25,2680.24533625
276,2685.25,10.0,5.470318998e-11,2695.25,2690.24535359
277,2695.25,10.0,5.40447753488e-11,2705.25,2700.2453708
278,2705.25,10.0,5.34856171922e-11,2715.25,2710.24538788
279,2715.25,10.0,5.43628560965e-11,2725.25,2720.24540483
280,2725.25,10.0,5.46322625227e-11,2735.25,2730.24542166
281,2735.25,10.0,5.6262355013e-11,2745.25,2740.24543837
282,2745.25,10.0,9.03747854509e-11,2755.25,2750.24545495
283,2755.25,10.0,7.17782949107e-11,2765.25,2760.24547142
284,2765.25,10.0,5.3374377283e-11,2775.25,2770.24548777
285,2775.25,10.0,5.3581827649e-11,2785.25,2780.245504
286,2785.25,10.0,5.30992293245e-11,2795.25,2790.24552011
287,2795.25,10.0,5.28816975025e-11,2805.25,2800.24553611
288,2805.25,10.0,5.27573273696e-11,2815.25,2810.24555199
289,2815.25,10.0,5.34566162472e-11,2825.25,2820.24556777
290,2825.25,10.0,5.42137343863e-11,2835.25,2830.24558343
291,2835.25,10.0,5.38607232755e-11,2845.25,2840.24559898
292,2845.25,10.0,5.32546509562e-11,2855.25,2850.24561442
293,2855.25,10.0,5.23529062838e-11,2865.25,2860.24562975
294,2865.25,10.0,5.31862274911e-11,2875.25,2870.24564498
295,2875.25,10.0,5.29046551832e-11,2885.25,2880.2456601
296,2885.25,10.0,5.33974207681e-11,2895.25,2890.24567511
297,2895.25,10.0,5.32944149576e-11,2905.25,2900.24569002
298,2905.25,10.0,5.26425987561e-11,2915.25,2910.24570483
299,2915.25,10.0,5.29840935759e-11,2925.25,2920.24571954
300,2925.25,10.0,5.27167390049e-11,2935.25,2930.24573415
301,2935.25,10.0,5.3644388935e-11,2945.25,2940.24574866
302,2945.25,10.0,5.48881495425e-11,2955.25,2950.24576307
303,2955.25,10.0,5.42529405088e-11,2965.25,2960.24577738
304,2965.25,10.0,5.38727922553e-11,2975.25,2970.2457916
305,2975.25,10.0,5.47329690881e-11,2985.25,2980.24580572
306,2985.25,10.0,5.53467729945e-11,2995.25,2990.24581974
307,2995.25,10.0,5.69793828062e-11,3005.25,3000.24583368
308,3005.25,10.0,5.75045851204e-11,3015.25,3010.24584752
309,3015.25,10.0,5.44168565931e-11,3025.25,3020.24586127
310,3025.25,10.0,5.51428234381e-11,3035.25,3030.24587493
311,3035.25,10.0,5.50595572882e-11,3045.25,3040.24588849
